name,state,ingredients,calories_per_100g,spice_level,sweet_level,salty_level,sour_level,bitter_level,taste(0/1),prep_time,cook_time,diet_type_veg,diet_type_nonveg,diet_type_fast,diet_type_jain,diet_type_halal,meal_breakfast,meal_brunch,meal_lunch,meal_snack,meal_dinner,course_soup,course_salad,course_appetizer(starter),course_maincourse,course_sidedish,course_dessert,course_beverage,popularity,health_score,clean_name,clean_ingredients,popularity_score,cluster
Rogan Josh,Jammu and Kashmir,"lamb, yogurt, spices",250,0.8,0.1,0.7,0.2,0.1,1,30,90,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6,rogan josh,lamb,0.9,13
Yakhni,Jammu and Kashmir,"mutton, yogurt, spices",220,0.6,0.1,0.7,0.4,0.1,1,25,60,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,yakhni,mutton,0.9,4
Dum Aloo,Jammu and Kashmir,"potato, yogurt, spices",180,0.7,0.1,0.6,0.3,0.1,1,20,40,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,dum aloo,potato,0.9,10
Kahwah,Jammu and Kashmir,"green tea, saffron, almonds",60,0.1,0.3,0.1,0.1,0.2,1,5,10,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,high,0.9,kahwah,green tea,0.9,11
Modur Pulav,Jammu and Kashmir,"rice, dry fruits, sugar",280,0.1,0.8,0.2,0.1,0.1,1,20,30,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,high,0.6,modur pulav,rice,0.9,1
Goshtaba,Jammu and Kashmir,"mutton, yogurt, spices",270,0.7,0.1,0.8,0.3,0.1,1,40,50,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6,goshtaba,mutton,0.9,4
Shab Deg,Jammu and Kashmir,"meat, turnip, spices",230,0.6,0.2,0.7,0.2,0.1,1,30,180,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.7,shab deg,meat,0.5,13
Lyodur Tschaman,Jammu and Kashmir,"paneer, turmeric, spices",200,0.5,0.1,0.6,0.1,0.1,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,lyodur tschaman,paneer,0.9,0
Kashmiri Saag,Jammu and Kashmir,"leafy greens, spices",120,0.4,0.1,0.5,0.2,0.3,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.9,kashmiri saag,leafy greens,0.9,10
Phirni,Jammu and Kashmir,"rice, milk, sugar, nuts",220,0.1,0.8,0.1,0.1,0.1,1,15,45,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,high,0.6,phirni,rice,0.9,1
Haak,Jammu and Kashmir,"collard greens, spices",100,0.3,0.1,0.6,0.2,0.4,1,10,20,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.9,haak,collard greens,0.9,11
Tabak Maaz,Jammu and Kashmir,"lamb ribs, yogurt, spices",300,0.7,0.1,0.8,0.2,0.1,1,30,60,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,high,0.5,tabak maaz,lamb ribs,0.9,13
Kashmiri Rajma,Jammu and Kashmir,"red kidney beans, spices",180,0.5,0.1,0.6,0.1,0.1,1,30,60,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.8,kashmiri rajma,red kidney beans,0.9,10
